Aachen	ɑː k eː n
aula	ˈa ʊ̯ l a
av	ɑː v
av	oː v
av	oː
av	a β
av	oː v
av	oː
av	a β
avbrott	ɑː v ˈb r ɔ t
avfärda	ɑː v ˈf ɛ r d a
avgjord	² ɑː v ˌj uː r d
avgjord	/ e n . w i k t i o n a r y . o r g
avgå	² ɑː v ˌɡ oː
avgå	/ e n . w i k t i o n a r y . o r g
avgång	² ɑː v ˌɡ ɔ ŋ
avgöra	² ɑː v ˌj øː r a
avgöra	/ e n . w i k t i o n a r y . o r g
avi	ˈa ˌv iː
avlat	ˈɑː v ˌl ɑː t
avlatskrämare	ˈɑː v l ɑː t s ˌk r ɛː m a r ɛ
avled	² ɑː v ˌl eː d
avled	/ e n . w i k t i o n a r y . o r g
avokado	a v ʊ ˈk ɑː d ʊ
avokado	/ e n . w i k t i o n a r y . o r g
avokado	/ e n . w i k t i o n a r y . o r g
avseende	ˈɑː v ˌs eː ɛ n d ɛ
avsiktlig	ˈɑː v ˌs i k t l iː
avsked	ˌɑː v ˈɧ eː d
avsky	ˈɑː v ˌɧ yː
avskyvärd	² ɑː v ɧ ʏ ˌv ɛː r d
avsluta	² ɑː v s ˌl ʉː t a
aw	ˈɑː ˌv eː
aw	ʔ a u
aw	/ e n . w i k t i o n a r y . o r g
AW	ˈɑː ˌv eː
Axel	¹ a k s ɛ l
ba	b ɑː
ba	b a
ba	b a
ba	b a
ba	ˈb a ʔ
ba	ˈb a ʔ
ba	b a
ba	b a
ba	b a
ba	b a
ba	b a ˦
ba	b a ˩
ba	b à
ba	b à
ba	b à
ba	b à
ba	b a ˧
ba	b a ˧˩
babbe	ˈb a ˌb ɛ
babylift	ˈb ɛ ɪ b ʏ ˌl ɪ f t
babylift	ˈb ɛ ɪ b ʏ l ɪ f t
backsvala	b a k ˈs v ɑː l a
bad	b ɑː d
bad	b aː d
bada	² b ɑː d a
badensisk	b a ˈd ɛ n s ɪ s k
badstuga	² b ɑː d ˌs t ʉː ɡ a
bagage	b a ˈɡ ɑː ɧ
Bajen	ˈb a j ɛ n
bajs	b a j s
bajsa	² b a j s a
bak	b ɑː k
bak	ɓ ä kʰ
bak	p aː k ˧˥
bakbord	b aː k . b uː r d
bakbord	/ e n . w i k t i o n a r y . o r g
balkansångare	b a l k a n ˈs ɔ ŋ a r ɛ
ball	ˈb a lː
balle	ˈb a ˌl ɛ
bamba	ˈb a m b a
bamba	ɓ aᵐ b a
bamba	ɓ aᵐ b a
bambamat	² b a m b a ˌm ɑː t
bambarast	² b a m b a ˌr a s t
bambatant	² b a m b a ˌt a n t
bana	ˈb ɑː ˌn a
bana	b a ˈn a ʔ
bana	ˈb a n a
bana	ˈb a n a
bana	ˈb a n a ʔ
bana	ˈb a n a ʔ
bana	ɓ áː n a
bana	ɓ áː n a
banan	b a ˈn ɑː n
banan	ˈb ɑː ˌn a n
banan	ˈb ɑː ˌn a n
bananskal	b a ˈn ɑː n ˌs k ɑː l
band	ˈb a n d
band	b a n d
band	/ e n . w i k t i o n a r y . o r g
bane	² b ɑː n ɛ
baneman	² b ɑː n ɛ ˌm a n
bank	ˈb a ŋː k
bank	ˈb ɑ ŋ k
bar	b ɑː r
bar	b a ɾ
bar	/ e n . w i k t i o n a r y . o r g
bara	² b ɑː r a
bara	b a
bara	b ɑ r ɑ
bara	b a ˈɾ a
bara	ˈb a ɾ a
bara	ˈb a ɾ a
bara	ˈb a ɾ a
bara	ˈb a ɾ a
bara	ˈb a r a
bara	ˈb a r a
bara	ˈb a r a
bara	ˈb aː r a
bara	ˈb a r a
bara	/ e n . w i k t i o n a r y . o r g
bara	b a
bara	b ɑ r ɑ
bara	b a ˈɾ a
bara	ˈb a ɾ a
bara	ˈb a ɾ a
bara	ˈb a ɾ a
bara	ˈb a ɾ a
bara	ˈb a r a
bara	ˈb a r a
bara	ˈb a r a
bara	ˈb aː r a
bara	ˈb a r a
bara	/ e n . w i k t i o n a r y . o r g
bara	b ɑ r ɑ
bara	b a ˈɾ a
bara	ˈb a ɾ a
bara	ˈb a ɾ a
bara	ˈb a ɾ a
bara	ˈb a ɾ a
bara	ˈb a r a
bara	ˈb a r a
bara	ˈb a r a
bara	ˈb aː r a
bara	ˈb a r a
bara	/ e n . w i k t i o n a r y . o r g
Barcelona	b a ʂ ɛ ² l oː n a
Barcelona	b a ɾ s e ˈl o n a
Barcelona	/ e n . w i k t i o n a r y . o r g
barmhärtig	b a r m ˈh ɛ ʈ ɪ ɡ
barn	b ɑː r n
barn	b a r n
barn	b a r n
barnbespisning	² b ɑː r n b ɛ ˌs p iː s n ɪ ŋ
barnet	ˈb ɑː r n ɛ t
barnhem	b ɑː r n ˌh ɛ m
barnmorska	² b ɑː r n m ʊ r s k a
barnmorska	/ e n . w i k t i o n a r y . o r g
barriär	b a r ɪ ˈæː r
barriär	/ e n . w i k t i o n a r y . o r g
barsk	ˈb a ʂ k
bas	b ɑː s
bas	ˈb a s
bas	ˈb a s
bas	b aː s
bas	/ e n . w i k t i o n a r y . o r g
basar	b a ˈs ɑː r
basar	b a ˈs a ɾ
basar	/ e n . w i k t i o n a r y . o r g
basket	ˈb ɑː s k ɛ t
basket	ˈb a s k e t
basket	b a s ˈc e t
basta	² b a s t a
basta	ˈb a s t a
basta	b a s ˈt a
basta	ˈb a s t a
basta	ˈb a s t a
basta	b a s ˈt a ʔ
basta	b a s ˈt a ʔ
basta	b a s ˈt a ʔ
basta	b a s ˈt a ʔ
basta	ˈb a s d a
basta	ˈb a s d a
basta	ˈb a . s t a
basta	ˈb a . s t a
basta	ˈb a s t a
basta	b a s ˈt a
basta	ˈb a s t a
basta	ˈb a s t a
basta	b a s ˈt a ʔ
basta	b a s ˈt a ʔ
basta	b a s ˈt a ʔ
basta	b a s ˈt a ʔ
basta	ˈb a s d a
basta	ˈb a s d a
basta	ˈb a . s t a
basta	ˈb a . s t a
BB	² b eː ˌb eː
bea	² b eː a
bearbeta	ˈb eː a r ˌb eː t a
bebop	ˈb iː b ɔ p
beckasin	b ɛ k a ˈs iː n
beckasinsnäppa	ˌb ɛ k a s iː n ˈs n ɛ p a
beckasinsnäppa	/ e n . w i k t i o n a r y . o r g
bedrägeri	b ɛ d r ɛː ɡ ɛ ˈr iː
begå	b ə ˈɡ oː
behov	b ɛ ˈh uː v
behålla	/ e n . w i k t i o n a r y . o r g
beige	b eː ɧ
beige	b ɛː ɧ
beige	/ e n . w i k t i o n a r y . o r g
beige	/ e n . w i k t i o n a r y . o r g
bekant	b ə ˈk a n t
Belgien	ˈb ɛ l ɡ ɪ ɛ n
ben	ˈb eː n
ben	b ɛ n
ben	b æ n
ben	b ɛ n
ben	b ɛ n
ben	b ɛ n
ben	b ɛ n
ben	b ɛ n
berg	b ɛ r j
bergand	ˌb ɛ ɾ j ˈa n d
bergand	/ e n . w i k t i o n a r y . o r g
bergen	ˈb ɛ r j ɛ n
bergens	ˈb ɛ r j ɛ n s
berget	ˈb ɛ r j ɛ t
bergets	ˈb ɛ r j ɛ t s
bergs	ˈb ɛ r j s
bergsångare	b ɛ r j ˈs ɔ ŋ a r ɛ
bergtajgasångare	b ɛ r j t a j ɡ a ˈs ɔ ŋ a r ɛ
bergtita	b ɛ ɾ j ˈt iː t a
bergtita	/ e n . w i k t i o n a r y . o r g
berguv	b ɛ r j ˈʉː v
Berlin	b e r ˈl iː n
Bert	ˈb æ ʈ
Bert	/ e n . w i k t i o n a r y . o r g
beryllium	b ɛ ˈr ʏ l ɪ ɵ m
besk	b ɛ s k
besk	/ e n . w i k t i o n a r y . o r g
besked	b ɛ ˈɧ eː d
besked	/ e n . w i k t i o n a r y . o r g
bespisa	b e ˈs p iː s a
bespisa	/ e n . w i k t i o n a r y . o r g
bespisning	b ɛ ˈs p iː s n ɪ ŋ
bespisning	/ e n . w i k t i o n a r y . o r g
bestrida	b ɛ ˈs t r iː d a
besvika	b ɛ ˈs v iː k a
besökare	b ɛ ˈs øː k a r ɛ
beta	b ɛ ˈt ɑː
betala	b ɛ ˈt ɑː l a
bete	ˈb eː ˌt ɛ
bete	ˈb eː ˌt ɛ
bete	b ɛ ˈt eː
bete	/ e n . w i k t i o n a r y . o r g
bete	ˈb eː ˌt ɛ
bete	b ɛ ˈt eː
bete	/ e n . w i k t i o n a r y . o r g
bete	b ɛ ˈt eː
bete	/ e n . w i k t i o n a r y . o r g
beteende	b ɛ ˈt eː ɛ n d ɛ
betyda	b ɛ ¹ t yː d a
betydelse	b ɛ ¹ t yː d ɛ l s ɛ
bi	b iː
bi	b iː
bi	b iː
bi	b iː
bi	b iː
bi	b í
bi	b ī
bi	b ì
bi	b i
bi	p i ˨˦
bi	b ǐ
biathlon	ˈb iː a t l ɔ n
bikini	b ɪ ˈk iː n ɪ
bikini	/ e n . w i k t i o n a r y . o r g
bikini	/ e n . w i k t i o n a r y . o r g
bil	b iː l
bil	b ɪ l
bil	b ɪ l
bil	b i l ˧
bil	b i l ˧
bilist	b ɪ l ˈɪ s t
biljard	b ɪ l ˈj ɑː r d
biljon	b ɪ l ˈj uː n
bill	b ɪ l
bill	/ e n . w i k t i o n a r y . o r g
bilparkering	b iː l p a r ˈk eː r ɪ ŋ
biologi	b ɪ ʊ l ʊ ˈɡ iː
Birgitta	b ɪ r ² ɡ ɪ t a
biskop	ˈb i s k ɔ p
biskop	ˈb ɪ s . k ɔ p
bit	b iː t
bit	b ɪ t
bit	ˈb i t
bit	b i t̪
bit	p i t ˥
bit	p i t ˥
bit	p i t ˥
bit	p i t ˥
bit	b ɪ t
bit	ˈb i t
bit	b i t̪
bit	p i t ˥
bit	p i t ˥
bit	p i t ˥
bit	p i t ˥
bits	b iː t s
bits	b ɪ t s
bitvarg	² b iː t ˌv a r j
biätare	b iː ˈɛ t a r ɛ
bjuda	² b j ʉː d a
bjuda	/ e n . w i k t i o n a r y . o r g
bjuda	/ e n . w i k t i o n a r y . o r g
bjugg	b j ɵ ɡː
bjöd	b j øː d
bjöd	/ e n . w i k t i o n a r y . o r g
björn	b j øː r n
björn	/ e n . w i k t i o n a r y . o r g
blad	¹ b l ɑː d
blad	/ e n . w i k t i o n a r y . o r g
blad	/ e n . w i k t i o n a r y . o r g
blandinaviska	b l a n d ɪ ˈn ɑː v ɪ s k a
blandning	² b l a n d ˌn i ŋ
blankspola	² b l a ŋ k ˌs p uː l a
blatte	/ e n . w i k t i o n a r y . o r g
bleck	b l ɛ k
blev	b l eː v
bli	b l iː
bli	/ e n . w i k t i o n a r y . o r g
blida	ˈb l iː ˌd a
block	ˈb l ɔ k
blod	b l uː d
blod	/ e n . w i k t i o n a r y . o r g
blodröd	ˈb l uː d ˌr øː d
blodtörst	² b l uː d t ɵ ʂ ʈ
blodtörst	² b l uː d t œ ʂ ʈ
blodtörstig	² b l uː d t ɵ ʂ ʈ ɪ ɡ
blodtörstig	² b l uː d t œ ʂ ʈ ɪ ɡ
blogg	b l ɔ ɡː
blogg	/ e n . w i k t i o n a r y . o r g
blomma	b l ʊ . m a
Blomqvist	² b l ʊ m k v ɪ s t
blott	b l ɔ tː
bly	b l yː
blyg	ˈb l yː ɡ
blyg	/ e n . w i k t i o n a r y . o r g
bläck	b l ɛ k
bläs	b l ɛ s
bläs	/ e n . w i k t i o n a r y . o r g
bläsand	ˌb l ɛ s ˈa n d
bläsand	/ e n . w i k t i o n a r y . o r g
bläsgås	ˌb l ɛ s ˈɡ oː s
bläsgås	/ e n . w i k t i o n a r y . o r g
blå	b l oː
blå	b ɽ oː
blå	b ɽ ɒː
blå	b ɽ ɑː
blå	/ e n . w i k t i o n a r y . o r g
blåbär	ˈb l oː ˌb ɛː r
blåbär	ˈb l oː b ɛː r
blåkråka	b l oː ˈk r oː k a
blåljus	b l oː j ʉː s
blåljuscentral	² b l oː j ʉː s ‿ s eː n ˌt r ɑː l
blåljusfilter	² b l oː j ʉː s ˌf ɪ l t ɛ r
blåljusfordon	b l oː j ʉː s f uː r d uː n
blåljuspersonal	b l oː j ʉː s p ɛ ʂ ʊ n ˈɑː l
blåst	b l oː s t
blåst	b l oː s t
blåst	b l ɔ s t
blåst	b l oː s t
blåst	b l ɔ s t
Blåtand	² b l oː t a n d
blått	b l ɔ tː
bo	b o
bo	b o
bo	b o
bo	b o
bo	b o
bo	b o
bo	p o ˨˦
Bo	b uː
Boden	ˈb uː d ɛ n
Bodil	¹ b uː d ɪ l
Boel	¹ b uː ɛ l
bog	b uː ɡ
bok	b uː k
bok	b o k
bok	b o k
boka	ˈb uː ˌk a
bokhandel	² b uː k ˌh a n d ɛ l
bokstav	ˈb uː k ˌs t ɑː v
bokstav	ˈb ʊ k ˌs t ɑː v
Bolaget	² b uː ˌl ɑː ɡ ɛ t
Bolaget	/ e n . w i k t i o n a r y . o r g
bon	b uː n
bon	/ e n . w i k t i o n a r y . o r g
bon	/ e n . w i k t i o n a r y . o r g
bon	/ e n . w i k t i o n a r y . o r g
bondska	² b ʊ n d s k a
boning	ˈb uː ˌn ɪ ŋ
bop	b ɔ p
bop	b ɔ p
bor	b oː r
bor	b uː r
bor	b uː r
bor	b ɔ r
bor	b ɔ r
bor	b uː r
bor	b uː r
bor	b ɔ r
bor	b ɔ r
bor	b uː r
bor	b ɔ r
bor	b ɔ r
bord	b uː ɖ
bord	b ɔ r d
bord	/ e n . w i k t i o n a r y . o r g
borde	ˈb uː ɖ ə
bordsbön	ˈb uː r d s ˌb øː n
bordsbön	/ e n . w i k t i o n a r y . o r g
bordsbön	/ e n . w i k t i o n a r y . o r g
bordsbön	/ e n . w i k t i o n a r y . o r g
bordsbön	/ e n . w i k t i o n a r y . o r g
bordtennis	² b uː ɖ ˌt ɛ n ɪ s
boren	b uː r ɛ n
bortaplan	² b ɔ r t a ˌp l ɑː n
bortskänka	² b ɔ r t ˌɧ ɛ ŋ k ɛ s
Borås	b ʊ ˈr oː s
bostad	² b uː ˌs t ɑː d
bot	b uː t
bot	b ɔ t
bot	b o t
bot	b o t
bot	b ɔ t
bot	b o t
bot	b o t
bota	ˈb uː . t a
bota	ˈb o t a
bota	/ e n . w i k t i o n a r y . o r g
botar	ˈb uː . t a r
bourgeoisie	b ɔ ɕ ɔ̯ a s iː
bov	b uː v
bov	b o v
bra	b r ɑː
bra	b r ɒː
braig	² b r ɑː ɪ ɡ
brand	b r a n d
brand	/ e n . w i k t i o n a r y . o r g
brand	/ e n . w i k t i o n a r y . o r g
brandskatta	² b r a nː d ˌs k a tː a
brasklapp	² b r a s k ˌl a p
bre	b r eː
brev	b r eː v
brevbärare	² b r eː v ˌb æː r a r e
brinna	² b r ɪ nː a
brinna	/ e n . w i k t i o n a r y . o r g
bris	b r iː s
brista	² b r ɪ sː t a
bro	b r uː
bro	b r oː
bro	b r oː
bro	/ e n . w i k t i o n a r y . o r g
bron	b r uː n
bron	b r ɔ n
bron	/ e n . w i k t i o n a r y . o r g
brons	b r ɔ n s
brons	b r uː n s
brons	b r uː n s
bronsibis	b r ɔ n s ˈiː b ɪ s
bror	b r uː r
brorsa	² b r ʊ ʂ a
bros	b r uː s
broschyr	b r ʊ ˈɧ yː r
brud	b r ʉː d
brud	/ e n . w i k t i o n a r y . o r g
brun	¹ b r ʉː n
brun	/ e n . w i k t i o n a r y . o r g
brun	/ e n . w i k t i o n a r y . o r g
brunand	ˌb ɾ ʉː n ˈa n d
brunand	/ e n . w i k t i o n a r y . o r g
brunch	b r ɵ n ɧ
brunch	/ e n . w i k t i o n a r y . o r g
Bruno	ˈb r ʉː n ʊ
brunsenap	ˌb r ʉː n ˈs eː n a p
brunsångare	b r ʉː n ˈs ɔ ŋ a r ɛ
brus	b r ʉː s
brus	/ e n . w i k t i o n a r y . o r g
brushane	ˌb r ʉː s ˈh ɑː n ɛ
brushane	/ e n . w i k t i o n a r y . o r g
brygd	b r ʏ ɡ d
bryggd	b r ʏ ɡ d
brylling	² b r ʏ l ɪ ŋ
brytning	² b r yː t ˌn ɪ ŋ
bröd	b r øː d
bröd	b r øː
bröd	b r øː
bröd	b r øː
bröd	d
bröt	b r øː t
bröt	/ e n . w i k t i o n a r y . o r g
bu	b ʉː
bu	b u
bu	b u
bu	b ɨː
bu	b ɨː
bu	b ɨː
bu	b ɨː
bu	b iː
bu	b u ˧
bu	b u ˧˥
bu	b u ˧˩
bud	b ʉ d
bud	/ e n . w i k t i o n a r y . o r g
Budgetpromenaden	² b ɵ d j ɛ t p r ʊ m ɛ ˌn ɑː d ɛ n
bulle	² b ɵ l ɛ
bulle	/ e n . w i k t i o n a r y . o r g
bunt	b ɵ n t
bunt	b ɨ̞ n t
bunt	b ɪ n t
bur	b ʉː r
bur	b ɨː r
bur	b ɨː r
bur	b iː r
bur	b ʊ ɾ
burdus	b ɵ r ˈd ʉː s
burdus	/ e n . w i k t i o n a r y . o r g
burdus	/ e n . w i k t i o n a r y . o r g
buren	¹ b ʉː r ɛ n
buren	² b ʉː r ɛ n
buren	² b ʉː r ɛ n
bus	b ʉː s
bus	b u s
bus	b u s
bus	b u s
bus	b a s
bus	b a s
bus	/ e n . w i k t i o n a r y . o r g
busig	ˈb ʉː ˌs ɪ ɡ
busksångare	b ɵ s k ˈs ɔ ŋ a r ɛ
buss	b ɵ s
bussarong	b ɵ s a ˈr ɔ ŋ
bussarong	/ e n . w i k t i o n a r y . o r g
busstation	² b ɵ s ‿ s t a ˌɧ uː n
bygd	ˈb ʏ ɡː d
bygga	ˈb ʏ ˌɡː a
byling	² b yː l ɪ ŋ
byling	/ e n . w i k t i o n a r y . o r g
byrå	ˈb yː ˌr ɔ
byrå	ˈb yː r ɔ
byrå	b ʏ ˈr oː
byrå	/ e n . w i k t i o n a r y . o r g
byte	ˈb yː t ɛ
byte	b a j t
byte	b a ɪ t
byte	b a j t
byte	b a ɪ t
byxis	¹ b ʏ k s ɪ s
bäckna	² b ɛ k n a
bäckna	/ e n . w i k t i o n a r y . o r g
bältdjur	b ɛ l t j ʉː r
bäng	b ɛ ŋ
bäng	/ e n . w i k t i o n a r y . o r g
bär	b ɛː r
bär	b ɛː r
bär	b ɛː r
bär	b aː r
bär	b eː r
bär	b æː r
bärs	b æ r s
bärs	b æː r s
bärs	b æː r s
bärs	b æː r s
bärs	b æː r s
bärs	b æː r s
bärs	b æː r s
bärs	/ e n . w i k t i o n a r y . o r g
bärs	/ e n . w i k t i o n a r y . o r g
bärs	b æː r s
bärs	b æː r s
bärs	b æː r s
bärs	b æː r s
bärs	/ e n . w i k t i o n a r y . o r g
bärs	/ e n . w i k t i o n a r y . o r g
bärs	b æː r s
bärs	/ e n . w i k t i o n a r y . o r g
bärs	/ e n . w i k t i o n a r y . o r g
bärsa	² b æ r s a
bärsa	/ e n . w i k t i o n a r y . o r g
bävergäll	b ɛː v ɛ r ˈj ɛ l
båda	ˈb oː ˌd a
både	² b oː d ɛ
både	ˈb oː d e
både	ˈb oː d e
både	ˈb oː d e
båge	² b oː ɡ ɛ
båge	/ e n . w i k t i o n a r y . o r g
bål	b oː l
bår	b oː r
båt	b oː ə t
båt	b oː t
båt	b oː t
båt	b ɒː t
båt	b ɑː t
